Account|Type|Balance b/f|Balance c/f|Balance date|TB_Movement|GL_Movement|difference
ACB00003|BS|596.71|101765.91|20161231|101169.2|101169.2|0.0
ACB00006|BS|-596.71|32210.84|20161231|32807.55|32807.55|0.0
ACB00008|BS|503.85|26208.39|20161231|25704.54|25704.54|0.0
ACB00012|BS|-503.85|13946.67|20161231|14450.52|14450.52|0.0
ACB00022|BS|701.4|1458.3|20161231|756.9|756.9|0.0
ACB00023|BS|-701.4|-4369.86|20161231|-3668.46|-3668.46|0.0
ACB00026|BS|634.63|-31552.12|20161231|-32186.75|-32186.75|0.0
ACB00033|BS|-634.63|-32171.51|20161231|-31536.88|-31536.88|0.0
ACB00037||||nan||19808.54|
ACB00039|BS|-834.76|-52546.35|20161231|-51711.59|-51711.59|0.0
ACB00042|BS|793.16|-12685.49|20161231|-13478.65|-13478.65|0.0
ACB00049|BS|-793.16|-34283.52|20161231|-33490.36|-33490.36|0.0
ACB00054|BS|710.61|35312.14|20161231|34601.53|34601.53|0.0
ACB00058|BS|-710.61|-21637.73|20161231|-20927.12|-20927.12|0.0
ACB00061|BS|701.91|-20604.95|20161231|-21306.86|-21306.86|0.0
ACB00068|BS|-701.91|-19006.58|20161231|-18304.67|-18304.67|0.0
ACB00072|BS|749.64|-12009.6|20161231|-12759.24|-12759.24|0.0
ACB00075|BS|-749.64|-76907.85|20161231|-76158.21|-76158.21|0.0
ACB00076|BS|768.49|-48456.11|20161231|-49224.6|-48551.93|-672.6699999999983
ACB00077|BS|-768.49|-61294.92|20161231|-60526.43|-60526.43|0.0
ACB00082|BS|760.09|-4041.02|20161231|-4801.11|-4063.18|-737.9299999999998
ACB00084|BS|-760.09|-28784.65|20161231|-28024.56|-28024.56|0.0
ACB00087|BS|711.8|3380.71|20161231|2668.91|2668.91|0.0
ACB00090|BS|-711.8|36649.4|20161231|37361.2|37361.2|0.0
ACB00091|BS|628.24|3054.74|20161231|2426.5|3138.97|-712.4699999999998
ACB00093|BS|-628.24|108630.01|20161231|109258.25|109258.25|0.0
