Account|Type|Balance b/f|Balance c/f|Balance date
ACB00003|BS|596.71|101765.91|20161231
ACB00006|BS|-596.71|32210.84|20161231
ACB00008|BS|503.85|26208.39|20161231
ACB00012|BS|-503.85|13946.67|20161231
ACB00022|BS|701.4|1458.3|20161231
ACB00023|BS|-701.4|-4369.86|20161231
ACB00026|BS|634.63|-31552.12|20161231
ACB00033|BS|-634.63|-32171.51|20161231
ACB00039|BS|-834.76|-52546.35|20161231
ACB00042|BS|793.16|-12685.49|20161231
ACB00049|BS|-793.16|-34283.52|20161231
ACB00054|BS|710.61|35312.14|20161231
ACB00058|BS|-710.61|-21637.73|20161231
ACB00061|BS|701.91|-20604.95|20161231
ACB00068|BS|-701.91|-19006.58|20161231
ACB00072|BS|749.64|-12009.6|20161231
ACB00075|BS|-749.64|-76907.85|20161231
ACB00076|BS|768.49|-48456.11|20161231
ACB00077|BS|-768.49|-61294.92|20161231
ACB00082|BS|760.09|-4041.02|20161231
ACB00084|BS|-760.09|-28784.65|20161231
ACB00087|BS|711.8|3380.71|20161231
ACB00090|BS|-711.8|36649.4|20161231
ACB00091|BS|628.24|3054.74|20161231
ACB00093|BS|-628.24|108630.01|20161231
ACB00095|BS|655.46|-49423.03|20161231
ACB00097|BS|-655.46|21164.16|20161231
ACB00099|BS|774.98|65302.13|20161231
ACB00101|BS|-774.98|91457.32|20161231
ACB00102|BS|568.08|45217.1|20161231
ACB00103|BS|-568.08|-62315.53|20161231
ACP00002|P&L|-818.43|4502.66|20161231
ACP00004|P&L|798.87|32980.15|20161231
ACP00005|P&L|-798.87|19061.05|20161231
ACP00007|P&L|583.19|10533.19|20161231
ACP00009|P&L|-583.19|-13288.8|20161231
ACP00010|P&L|759.54|25226.19|20161231
ACP00011|P&L|-759.54|-20761.98|20161231
ACP00013|P&L|766.18|289.7|20161231
ACP00014|P&L|-766.18|-11616.26|20161231
ACP00015|P&L|693.1|28124.42|20161231
ACP00016|P&L|-693.1|14366.6|20161231
ACP00017|P&L|654.01|24449.74|20161231
ACP00018|P&L|-654.01|19530.5|20161231
ACP00019|P&L|700.85|-8094.19|20161231
ACP00020|P&L|-700.85|-3439.84|20161231
ACP00021|P&L|610.36|-6188.29|20161231
ACP00024|P&L|-610.36|6626.49|20161231
ACP00025|P&L|656.68|-1683.41|20161231
ACP00027|P&L|-656.68|8102.21|20161231
ACP00028|P&L|623.43|23055.92|20161231
ACP00029|P&L|-623.43|-4748.23|20161231
ACP00030|P&L|686.91|7512.73|20161231
ACP00031|P&L|-686.91|13096.42|20161231
ACP00032|P&L|676.53|-7.65|20161231
ACP00034|P&L|-676.53|-11196.74|20161231
ACP00035|P&L|646.08|18005.2|20161231
ACP00036|P&L|-646.08|34706.14|20161231
ACP00038|P&L|486.8|6790.53|20161231
ACP00040|P&L|-486.8|-7840.61|20161231
ACP00043|P&L|-833.09|5761.43|20161231
ACP00044|P&L|0.0|-25367.79|20161231
ACP00045|P&L|0.0|1414.45|20161231
ACP00047|P&L|0.0|-11858.93|20161231
ACP00048|P&L|0.0|-3267.86|20161231
ACP00050|P&L|0.0|-35812.54|20161231
ACP00051|P&L|0.0|6734.99|20161231
ACP00052|P&L|0.0|31179.95|20161231
ACP00053|P&L|0.0|-51814.44|20161231
ACP00055|P&L|0.0|1797.86|20161231
ACP00056|P&L|0.0|-29435.21|20161231
ACP00057|P&L|0.0|39722.87|20161231
ACP00059|P&L|0.0|16068.08|20161231
ACP00060|P&L|0.0|-40085.14|20161231
ACP00062|P&L|0.0|24864.23|20161231
ACP00063|P&L|0.0|25137.62|20161231
ACP00064|P&L|0.0|-28982.84|20161231
ACP00065|P&L|0.0|-8042.01|20161231
ACP00066|P&L|0.0|-84.02|20161231
ACP00067|P&L|0.0|25732.13|20161231
ACP00069|P&L|0.0|962.06|20161231
ACP00070|P&L|0.0|17595.16|20161231
ACP00071|P&L|0.0|-28547.84|20161231
ACP00073|P&L|0.0|-5792.42|20161231
ACP00074|P&L|0.0|-11972.8|20161231
ACP00078|P&L|0.0|-36882.3|20161231
ACP00079|P&L|0.0|-23006.39|20161231
ACP00080|P&L|0.0|4386.03|20161231
ACP00081|P&L|0.0|-16279.96|20161231
ACP00083|P&L|0.0|11418.31|20161231
ACP00085|P&L|0.0|-20416.26|20161231
ACP00088|P&L|0.0|25458.57|20161231
ACP00089|P&L|0.0|-26888.54|20161231
ACP00092|P&L|0.0|14289.03|20161231
ACP00094|P&L|0.0|31713.09|20161231
ACP00096|P&L|0.0|-6483.86|20161231
ACP00098|P&L|0.0|9744.94|20161231
ACP00100|P&L|0.0|-20760.69|20161231
ACP00104|P&L|0.0|-56260.7|20161231
ACP00105|P&L|0.0|-6414.84|20161231
ACP00106|P&L|0.0|23672.24|20161231
ACP00107|P&L|0.0|6818.51|20161231
ACP00108|P&L|0.0|11510.31|20161231
ACP00109|P&L|0.0|-9345.87|20161231
ACP00110|P&L|0.0|-52613.0|20161231
